       1,     190,      24,      23,     189
       2,     191,      25,      24,     190
       3,     192,     193,      25,     191
       4,     194,      26,      25,     193
       5,     195,      27,      26,     194
       6,     197,       2,       1,     196
       7,     198,       3,       2,     197
       8,     199,       4,       3,     198
       9,     200,       5,       4,     199
      10,     201,       6,       5,     200
      11,     202,       7,       6,     201
      12,     203,       8,       7,     202
      13,     204,       9,       8,     203
      14,     205,      10,       9,     204
      15,     206,      11,      10,     205
      16,     207,      12,      11,     206
      17,     208,      13,      12,     207
      18,     209,      14,      13,     208
      19,     210,      15,      14,     209
      20,     211,      16,      15,     210
      21,     212,      17,      16,     211
      22,     213,      18,      17,     212
      23,     214,      19,      18,     213
      24,     215,      20,      19,     214
      25,     196,       1,      20,     215
      26,     216,      22,      27,     195
      27,     217,     218,      22,     216
      28,     219,      28,      22,     218
      29,     220,      29,      28,     219
      30,     221,     111,      33,      35
      31,     222,     110,     111,     221
      32,     223,     109,     110,     222
      33,     224,     108,     109,     223
      34,     225,     107,     108,     224
      35,     226,     106,     107,     225
      36,     227,     105,     106,     226
      37,     228,     104,     105,     227
      38,     229,     103,     104,     228
      39,     230,     102,     103,     229
      40,     231,     101,     102,     230
      41,     232,     100,     101,     231
      42,     233,      99,     100,     232
      43,     234,      98,      99,     233
      44,     235,      97,      98,     234
      45,     236,      96,      97,     235
      46,     237,      95,      96,     236
      47,     238,      94,      95,     237
      48,     239,      93,      94,     238
      49,     240,      92,      93,     239
      50,     241,      91,      92,     240
      51,     242,      90,      91,     241
      52,     243,      89,      90,     242
      53,     244,      88,      89,     243
      54,     245,      87,      88,     244
      55,     246,      86,      87,     245
      56,     247,      85,      86,     246
      57,     248,      84,      85,     247
      58,     249,      83,      84,     248
      59,     250,      82,      83,     249
      60,     251,      81,      82,     250
      61,     252,      80,      81,     251
      62,     253,      79,      80,     252
      63,     254,      78,      79,     253
      64,     255,      77,      78,     254
      65,     256,      76,      77,     255
      66,     257,      75,      76,     256
      67,     258,      74,      75,     257
      68,     259,      73,      74,     258
      69,     260,      72,      73,     259
      70,     261,      71,      72,     260
      71,     262,      70,      71,     261
      72,     263,      69,      70,     262
      73,     264,      68,      69,     263
      74,     265,      67,      68,     264
      75,     266,      66,      67,     265
      76,     267,      65,      66,     266
      77,     268,      64,      65,     267
      78,     269,      63,      64,     268
      79,     270,      62,      63,     269
      80,     271,      61,      62,     270
      81,     272,      60,      61,     271
      82,     273,      59,      60,     272
      83,     274,      58,      59,     273
      84,     275,      57,      58,     274
      85,     276,      56,      57,     275
      86,     277,      55,      56,     276
      87,     278,      54,      55,     277
      88,     130,      53,      54,     278
      89,     279,      30,      29,     220
      90,     280,     281,      30,     279
      91,     282,      31,      30,     281
      92,     283,      32,      31,     282
      93,     284,     188,     112,     113
      94,     285,     187,     188,     284
      95,     286,     186,     187,     285
      96,     287,     185,     186,     286
      97,     288,     184,     185,     287
      98,     289,     183,     184,     288
      99,     290,     182,     183,     289
     100,     291,     181,     182,     290
     101,     292,     180,     181,     291
     102,     293,     179,     180,     292
     103,     294,     178,     179,     293
     104,     295,     177,     178,     294
     105,     296,     176,     177,     295
     106,     297,     175,     176,     296
